Exercise Name,Instructions
Word Recall,"Read 5–10 words, wait 1 minute, then try to recall them."
Number Sequencing,"Write numbers out of order and rearrange them into ascending order."
Story Retelling,"Read a short story and retell it in your own words."
Crossword Puzzle,"Complete a crossword puzzle using given clues."
Sudoku,"Fill a 9x9 grid so each number appears once per row, column, and box."
Name Association,"Match names with faces or objects and recall later."
Alphabet Listing,"List words starting with each letter of the alphabet."
Mental Math,"Solve simple math problems in your head."
Category Naming,"Name as many items as possible in a category (e.g., fruits) in 1 minute."
Memory Tray,"Look at items on a tray, cover them, then recall as many as possible."
Spelling Practice,"Spell common or challenging words aloud or on paper."
Jigsaw Puzzle,"Assemble a puzzle to improve spatial thinking."
Reading Aloud,"Read a paragraph aloud to improve focus and comprehension."
Pattern Recognition,"Identify patterns in numbers or shapes."
Map Recall,"Study a simple map, then redraw it from memory."
Riddle Solving,"Solve simple riddles or brain teasers."
Music Recall,"Listen to a song and recall lyrics or melody."
Daily Journal,"Write a short summary of your day."
Object Description,"Describe an object in detail from memory."
Sequence Recall,"Repeat a sequence of numbers or words backward."
Proverb Interpretation,"Explain the meaning of common sayings."
Color Matching,"Match colors with objects or images."
Counting Backwards,"Count backward from 100 by 3s or 7s."
Picture Story,"Look at an image and create a short story."
Word Scramble,"Unscramble mixed-up words."
Analogies,"Complete analogies (e.g., Cat is to Kitten as Dog is to ?)."
Calendar Planning,"Plan events on a calendar for the week."
Fact Recall,"Recall historical facts or personal memories."
Direction Giving,"Explain how to get from one place to another."
Shape Drawing,"Draw shapes from memory."
Synonym Search,"List synonyms for common words."
Opposite Words,"List antonyms for given words."
Cooking Recall,"Recall steps of a favorite recipe."
Object Categorization,"Group items into categories."
Time Estimation,"Estimate how long a task takes."
Listening Recall,"Listen to a short passage and summarize it."
Word Chain,"Create a chain where each word starts with the last letter of the previous word."
Spot the Difference,"Compare two images and find differences."
Math Word Problems,"Solve simple real-life math problems."
Emotion Recognition,"Identify emotions from facial expressions."
List Making,"Create lists (e.g., groceries) from memory."
Poem Memorization,"Memorize and recite short poems."
Trivia Quiz,"Answer general knowledge questions."
Language Practice,"Learn and recall new words from another language."
Visual Memory,"Look at a picture, then recall details."
Sorting Tasks,"Sort cards or objects by rules."
Brain Teasers,"Solve logic puzzles."
Attention Switching,"Alternate between two tasks (e.g., counting and naming)."
Hand Coordination,"Trace patterns or shapes carefully."
Mindfulness Counting,"Count breaths slowly while focusing attention."
